time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,mag_X,mag_Y,mag_Z,temperature,pressure,VOC,CO2,Humidity
2025/03/22-09:42:00,-905,-102,4352,-409,7,-1210,302,-142,-250,24.85,996.72,0.48,500,39.87
2025/03/22-09:42:30,168,-345,3850,-183,-134,-1955,411,-22,-201,25.02,996.5,0.49,500,40.46
2025/03/22-09:43:00,904,-201,3994,179,-193,1249,236,-246,-58,25.93,996.69,0.49,500,40.8
2025/03/22-09:43:30,1680,491,4162,-205,125,-1020,352,-127,-85,25.76,996.92,0.48,500,39.46
2025/03/22-09:44:00,935,428,4111,378,377,-2683,288,-228,-82,24.87,996.53,0.49,500,39.29
2025/03/22-09:44:30,-1651,-321,3993,-38,407,2278,214,-163,-26,25.94,996.82,0.48,500,40.19
2025/03/22-09:45:00,1814,498,4349,152,-395,1610,276,-66,-76,25.44,996.73,0.46,500,39.64
2025/03/22-09:45:30,1842,-421,4404,-285,342,1374,477,-22,-223,24.86,996.58,0.47,500,41.11
2025/03/22-09:46:00,-345,387,4010,-15,-89,-405,424,-204,-62,24.97,996.82,0.49,500,40.68
2025/03/22-09:46:30,1845,331,3868,492,498,915,373,-65,-103,25.24,996.63,0.49,500,41.48
2025/03/22-09:47:00,275,-71,4504,260,370,-1470,379,-55,-180,24.79,996.73,0.47,500,41.85
2025/03/22-09:47:30,377,-480,3875,-344,396,-2279,300,-73,-143,24.89,996.75,0.49,500,40.28
2025/03/22-09:48:00,1446,-234,4060,68,412,-1740,246,-144,-200,25.84,996.69,0.48,500,39.49
2025/03/22-09:48:30,-1422,374,4438,381,-203,-2595,346,-232,-100,25.52,996.97,0.5,500,40.65
2025/03/22-09:49:00,-1102,248,3908,-262,185,2162,267,-150,-153,24.72,996.54,0.49,500,41.53
2025/03/22-09:49:30,573,-183,4374,191,455,2413,392,-242,-193,25.06,996.79,0.46,500,41.58
2025/03/22-09:50:00,1262,351,4125,472,211,-2517,391,-197,-77,24.85,996.84,0.5,500,41.25
2025/03/22-09:50:30,-1335,-426,4059,30,-289,-2656,484,-179,-113,25.52,996.86,0.46,500,41.92
2025/03/22-09:51:00,-796,-12,3932,419,-410,-281,368,-75,-245,25.11,996.51,0.46,500,39.99
2025/03/22-09:51:30,479,119,3867,247,367,1363,399,-239,-92,26.0,996.55,0.47,500,39.19
2025/03/22-09:52:00,-1713,-461,4551,265,140,1418,449,-213,-175,25.18,996.61,0.49,500,41.39
2025/03/22-09:52:30,-1186,310,4242,-479,65,227,259,-160,-54,25.59,996.99,0.48,500,40.97
2025/03/22-09:53:00,10,-272,3921,-80,46,-2376,413,-191,-50,25.41,996.9,0.46,500,39.39
2025/03/22-09:53:30,-376,342,4164,223,259,-322,381,-169,-129,25.47,996.53,0.46,500,40.83
2025/03/22-09:54:00,1663,-461,4082,362,75,-548,323,-92,-113,25.77,996.7,0.47,500,41.38
2025/03/22-09:54:30,-1973,-64,4135,-195,-396,2873,254,-20,-235,25.61,996.97,0.48,500,39.48
2025/03/22-09:55:00,-1350,-498,4026,493,134,-768,456,-171,-229,25.4,996.53,0.46,500,41.48
2025/03/22-09:55:30,493,-242,3960,-55,-77,-715,373,-187,-212,25.48,996.68,0.47,500,40.03
2025/03/22-09:56:00,124,416,4501,431,64,-1960,344,-118,-198,25.73,996.85,0.45,500,39.8
2025/03/22-09:56:30,610,-4,4108,11,209,-1784,479,-223,-169,25.58,996.75,0.5,500,39.09
2025/03/22-09:57:00,330,387,4385,141,196,-1266,377,-96,-196,25.45,996.77,0.49,500,40.55
2025/03/22-09:57:30,-438,-262,4272,248,-487,-804,218,-212,-217,24.82,996.58,0.46,500,41.68
2025/03/22-09:58:00,926,395,3872,-65,253,-1246,476,-5,-8,24.76,996.9,0.49,500,39.46
2025/03/22-09:58:30,-218,450,3883,5,-441,865,342,-132,-229,25.91,996.75,0.48,500,39.88
2025/03/22-09:59:00,-1722,-81,4593,-49,-316,-941,228,-120,-54,24.81,996.93,0.47,500,40.2
2025/03/22-09:59:30,1016,-232,4497,276,358,1031,344,-206,-145,24.94,996.63,0.46,500,40.62
2025/03/22-10:00:00,-1064,-173,4478,-52,33,-172,264,-147,-38,24.6,996.86,0.48,500,41.02
2025/03/22-10:00:30,-115,-258,3958,-98,-282,-2449,394,-225,-65,25.75,996.68,0.49,500,40.68
2025/03/22-10:01:00,-939,-267,4340,413,-276,-1715,463,-211,-39,25.05,996.96,0.5,500,40.14
2025/03/22-10:01:30,1061,160,4388,347,171,728,354,-11,-190,24.72,996.84,0.46,500,40.67
2025/03/22-10:02:00,229,274,4089,-22,207,1636,426,-149,-226,25.1,996.84,0.48,500,41.05
2025/03/22-10:02:30,-740,-243,3839,267,-99,2217,278,-92,-32,24.53,996.68,0.49,500,40.48
2025/03/22-10:03:00,-60,-318,4462,72,482,1777,226,-224,-26,25.55,996.58,0.45,500,41.8
2025/03/22-10:03:30,901,-280,3928,412,-54,205,348,-187,-173,25.18,996.74,0.46,500,40.17
2025/03/22-10:04:00,-1008,137,4041,112,54,-2724,223,-249,-178,25.52,996.62,0.48,500,40.13
2025/03/22-10:04:30,1444,102,4287,-25,486,1298,449,-51,-240,25.76,996.73,0.48,500,39.13
2025/03/22-10:05:00,181,-162,4459,-121,365,860,410,-27,-225,24.9,996.63,0.48,500,40.91
2025/03/22-10:05:30,-1292,-459,4512,246,480,-2569,449,-111,-175,24.62,996.59,0.45,500,41.97
2025/03/22-10:06:00,-1265,-41,4254,-231,-79,1358,430,-63,-149,24.65,996.73,0.48,500,39.67
2025/03/22-10:06:30,-1794,123,4214,97,-204,-911,240,-97,-149,24.57,996.77,0.48,500,41.53
2025/03/22-10:07:00,-786,-127,4404,175,-499,1273,357,-217,-186,24.94,996.75,0.47,500,40.41
2025/03/22-10:07:30,-664,-129,4503,-118,146,1200,467,-238,-5,25.08,996.68,0.47,500,41.72
2025/03/22-10:08:00,250,24,4503,-275,-208,-2608,214,-212,-229,24.59,996.72,0.49,500,39.26
2025/03/22-10:08:30,-1662,339,4035,-469,390,2600,325,-50,-133,25.17,996.91,0.47,500,41.68
2025/03/22-10:09:00,-1099,369,3831,-366,-183,535,286,-225,-72,25.86,996.53,0.49,500,40.73
2025/03/22-10:09:30,-195,-358,4217,409,-177,-2289,488,-187,-27,24.79,996.73,0.48,500,41.43
2025/03/22-10:10:00,1885,-370,4031,52,-134,2071,484,-110,-1,25.69,996.64,0.47,500,40.28
2025/03/22-10:10:30,-688,-93,3867,-76,-72,1290,318,-127,-91,25.06,996.67,0.49,500,41.16
2025/03/22-10:11:00,1998,-449,4244,401,221,-1057,458,-58,-229,25.47,996.69,0.47,500,41.93
2025/03/22-10:11:30,68,-382,4084,173,-184,1820,442,-79,-188,24.76,996.55,0.45,500,41.03
2025/03/22-10:12:00,1800,-261,4340,473,250,-2739,339,-158,-141,25.92,996.54,0.46,500,39.05
2025/03/22-10:12:30,375,177,4558,-333,297,-1592,241,-211,-179,25.8,996.94,0.48,500,42.0
2025/03/22-10:13:00,686,-183,3922,-304,-270,-1399,279,-10,-139,25.22,996.79,0.49,500,40.0
2025/03/22-10:13:30,754,-156,4251,307,324,1454,406,-191,-53,24.52,996.57,0.49,500,41.1
2025/03/22-10:14:00,1988,-496,4329,-400,404,-1670,327,-74,-140,24.59,996.76,0.46,500,40.91
2025/03/22-10:14:30,-391,-334,4530,113,-453,-1990,486,-157,-100,25.85,996.6,0.48,500,40.24
2025/03/22-10:15:00,811,-314,3901,146,-454,1659,361,-244,-229,25.79,996.52,0.47,500,39.4
2025/03/22-10:15:30,-1846,325,4139,41,367,-1839,451,-118,-196,25.06,996.88,0.47,500,40.11
2025/03/22-10:16:00,1496,-187,4219,79,-167,2224,481,-106,-198,25.65,996.9,0.45,500,40.74
2025/03/22-10:16:30,-1100,-332,4310,-211,33,2337,465,-218,-234,25.37,996.79,0.5,500,39.17
2025/03/22-10:17:00,-443,-462,4423,325,-499,1568,334,-152,-144,25.48,996.93,0.49,500,39.56
2025/03/22-10:17:30,1370,-200,3956,321,-54,1499,421,-136,-91,25.9,996.83,0.45,500,41.34
2025/03/22-10:18:00,-482,-248,4340,439,305,-2326,452,-141,-216,24.96,996.55,0.46,500,39.38
2025/03/22-10:18:30,763,-183,4393,194,-286,1268,370,-242,-146,25.83,996.79,0.49,500,40.43
2025/03/22-10:19:00,1710,284,4026,260,-256,-602,213,-146,-196,25.57,996.53,0.5,500,40.44
2025/03/22-10:19:30,-1317,131,4099,87,-25,2780,221,-239,-57,26.0,996.98,0.45,500,40.14
2025/03/22-10:20:00,394,-261,4103,170,-156,-1215,488,-173,-159,25.21,996.71,0.47,500,40.15
2025/03/22-10:20:30,1058,-391,4390,-146,7,-2312,499,-223,-77,24.57,996.52,0.47,500,39.16
2025/03/22-10:21:00,1370,79,4266,6,-159,-27,225,-202,-219,25.55,996.8,0.5,500,39.96
2025/03/22-10:21:30,342,476,3894,-266,-336,-2013,371,-194,-132,25.05,996.65,0.5,500,41.4
2025/03/22-10:22:00,-145,-262,4092,-107,-140,-1990,476,-111,-249,25.84,996.89,0.47,500,39.94
2025/03/22-10:22:30,1710,409,4010,-90,-220,2094,226,-48,-20,25.58,996.72,0.49,500,40.98
2025/03/22-10:23:00,735,-291,4512,-240,-13,2266,202,-213,-42,25.76,996.57,0.5,500,41.95
2025/03/22-10:23:30,1182,411,4139,-41,306,-1396,426,-4,-23,25.56,996.65,0.48,500,39.67
2025/03/22-10:24:00,987,-488,4549,65,188,-1800,486,-171,-177,25.03,996.7,0.48,500,40.18
2025/03/22-10:24:30,1921,113,3986,218,105,-85,394,-211,-23,25.46,996.54,0.46,500,40.98
2025/03/22-10:25:00,173,392,4046,-475,281,-1062,460,-69,-224,24.6,996.96,0.49,500,40.92
2025/03/22-10:25:30,-1706,339,4317,378,-429,1302,410,-100,-232,24.87,996.88,0.47,500,41.1
2025/03/22-10:26:00,-1918,-437,4409,429,-30,2506,215,-23,-107,24.59,996.85,0.49,500,40.67
2025/03/22-10:26:30,-1158,260,4490,-184,-226,-2892,463,-179,-111,25.03,996.74,0.48,500,40.69
2025/03/22-10:27:00,1808,67,4589,-33,-87,-990,232,-58,-18,24.54,996.81,0.5,500,40.3
2025/03/22-10:27:30,819,364,4222,-201,191,-2211,394,-106,-100,26.0,996.74,0.48,500,40.37
2025/03/22-10:28:00,1561,291,4095,-435,-346,1707,315,-215,-63,25.6,996.55,0.48,500,39.92
2025/03/22-10:28:30,1094,-319,3926,-253,-355,2308,281,-25,-120,24.81,996.91,0.48,500,41.93
2025/03/22-10:29:00,188,-76,4157,192,123,240,431,-217,-139,24.56,996.91,0.48,500,40.76
2025/03/22-10:29:30,-1337,266,4399,106,45,1508,246,-169,-94,25.72,996.65,0.47,500,40.41
2025/03/22-10:30:00,1271,-444,4369,-308,201,-1185,495,-85,-104,25.69,996.55,0.46,500,41.0
2025/03/22-10:30:30,-368,126,4065,161,351,-2805,385,-8,-97,25.89,996.62,0.47,500,39.06
2025/03/22-10:31:00,1899,-439,4157,-163,215,49,335,-178,-177,24.73,996.92,0.46,500,40.72
2025/03/22-10:31:30,-141,437,3998,-149,-101,-1819,380,-144,-41,25.94,996.53,0.48,500,39.77
2025/03/22-10:32:00,1492,-10,4490,254,-116,1928,460,-30,-118,25.73,996.52,0.49,500,39.38
2025/03/22-10:32:30,-40,194,4434,320,172,-2150,482,-6,-97,24.6,996.81,0.47,500,39.17
2025/03/22-10:33:00,161,324,4027,-366,-360,-2970,452,-146,-155,25.9,996.84,0.45,500,39.42
2025/03/22-10:33:30,1506,157,3922,379,-327,-2191,445,-76,-96,25.63,996.77,0.46,500,41.62
2025/03/22-10:34:00,-869,-442,3904,-102,486,2451,334,-185,-48,25.87,996.84,0.46,500,40.17
2025/03/22-10:34:30,1754,-36,3872,23,-82,2178,285,-129,-151,24.51,996.61,0.45,500,39.28
2025/03/22-10:35:00,763,325,4505,202,441,2902,330,-211,-34,25.64,996.66,0.46,500,40.07
2025/03/22-10:35:30,1170,-469,3874,247,290,1252,425,-136,-57,25.51,996.95,0.46,500,40.89
2025/03/22-10:36:00,1332,429,4015,-260,-450,2841,478,-5,-65,24.69,996.6,0.49,500,39.71
2025/03/22-10:36:30,1200,-71,4508,-381,124,1335,201,-216,-191,24.99,996.51,0.45,500,40.79
2025/03/22-10:37:00,-1459,-420,4061,395,234,-134,233,-66,-64,25.89,996.74,0.49,500,40.01
2025/03/22-10:37:30,936,497,3808,-498,450,-1165,425,-82,-217,24.59,996.72,0.47,500,41.02
2025/03/22-10:38:00,-284,-244,4156,-428,-359,-1,475,-170,-61,24.72,996.99,0.49,500,41.2
2025/03/22-10:38:30,-1436,-385,4279,-25,-51,-248,226,-19,-120,25.31,996.58,0.49,500,41.15
2025/03/22-10:39:00,1347,122,4594,-341,3,177,333,-82,-74,24.85,996.51,0.45,500,41.47
2025/03/22-10:39:30,-1201,123,4310,-83,380,1345,253,-130,-128,25.33,996.58,0.47,500,39.5
2025/03/22-10:40:00,302,-71,4587,-147,-263,724,342,-169,-214,24.6,996.89,0.46,500,41.76
2025/03/22-10:40:30,1920,486,4506,-451,270,1304,389,-126,-56,25.04,996.74,0.46,500,39.11
2025/03/22-10:41:00,-1039,403,3848,284,338,1147,440,-213,-141,25.47,996.55,0.49,500,40.56
2025/03/22-10:41:30,-1881,-296,4147,0,-255,-553,260,-178,-70,25.97,996.68,0.45,500,40.13
2025/03/22-10:42:00,221,74,4288,-78,78,63,471,-146,-94,24.68,996.51,0.47,500,39.51
2025/03/22-10:42:30,182,202,4152,26,449,-2572,436,-136,-101,25.73,996.7,0.47,500,41.33
2025/03/22-10:43:00,168,-57,3853,132,-52,-1136,291,-116,-224,25.23,996.73,0.49,500,39.08
2025/03/22-10:43:30,815,274,4283,-319,-85,1197,210,-31,-29,25.2,996.58,0.48,500,40.87
2025/03/22-10:44:00,-1071,248,4327,-249,-487,168,330,-70,-203,24.72,996.83,0.48,500,40.61
2025/03/22-10:44:30,-571,-27,4196,-375,-243,37,490,-111,-77,25.31,996.81,0.49,500,39.34
2025/03/22-10:45:00,1378,-252,4509,316,-215,-1537,389,-29,-103,25.28,996.9,0.48,500,39.37
2025/03/22-10:45:30,-862,-307,3939,-213,-155,-2081,431,-43,-57,24.69,996.61,0.48,500,40.92
2025/03/22-10:46:00,-1648,456,4277,9,-212,-1704,324,-150,-104,24.59,996.97,0.48,500,40.35
2025/03/22-10:46:30,-1058,-276,3808,209,164,1367,396,-195,-85,24.97,996.8,0.48,500,39.25
2025/03/22-10:47:00,-252,317,4324,46,-18,-618,426,-170,-5,24.65,996.62,0.45,500,39.9
2025/03/22-10:47:30,-646,-162,3832,-8,463,2070,278,-210,-217,25.11,996.79,0.46,500,40.99
2025/03/22-10:48:00,465,38,4156,-269,-155,862,235,-190,-75,24.59,996.85,0.47,500,40.4
2025/03/22-10:48:30,1837,342,4169,-120,-366,-1787,496,-213,-148,24.77,996.67,0.47,500,39.69
2025/03/22-10:49:00,1803,-419,4446,-457,-289,1403,254,-127,-173,25.11,996.85,0.47,500,41.74
2025/03/22-10:49:30,670,383,4103,171,469,1601,340,-8,-113,25.01,996.66,0.47,500,40.34
2025/03/22-10:50:00,1770,-354,4297,-418,465,2096,346,-117,-189,25.33,996.62,0.46,500,40.93
2025/03/22-10:50:30,-1535,-226,4415,-214,142,-1119,326,-247,-217,25.05,996.78,0.47,500,40.09
2025/03/22-10:51:00,-1439,-481,3942,-230,-447,1149,432,-133,-197,24.75,996.72,0.47,500,41.98
2025/03/22-10:51:30,1851,106,4241,235,330,-522,463,-42,-234,25.25,996.8,0.47,500,40.2
2025/03/22-10:52:00,889,21,4490,76,179,-148,478,-216,-194,24.6,996.72,0.47,500,39.49
2025/03/22-10:52:30,-312,491,3925,340,-228,-840,217,-108,-161,24.97,996.87,0.49,500,40.13
2025/03/22-10:53:00,278,-500,4059,-400,253,2477,471,-106,-59,25.04,996.68,0.47,500,39.66
2025/03/22-10:53:30,-1511,323,4562,98,381,2468,299,-156,-222,25.78,996.52,0.49,500,40.97
2025/03/22-10:54:00,-243,-455,4284,381,112,-2865,348,-114,-120,25.81,996.74,0.46,500,39.79
2025/03/22-10:54:30,-971,16,4285,-256,94,-323,345,-92,-4,25.38,996.87,0.5,500,39.35
2025/03/22-10:55:00,580,-226,4133,-334,-316,-967,229,-159,-114,25.36,996.84,0.46,500,41.51
2025/03/22-10:55:30,-1537,-330,4307,-213,-190,308,487,-199,-206,25.86,996.88,0.46,500,41.14
2025/03/22-10:56:00,-547,385,4140,409,-214,-1281,270,-197,-101,24.59,996.84,0.48,500,39.89
2025/03/22-10:56:30,-1132,140,4397,-200,-210,433,306,-126,-55,25.77,996.54,0.46,500,39.9
2025/03/22-10:57:00,-1699,-202,4288,-88,-189,551,443,-31,-218,24.85,996.98,0.47,500,41.02
2025/03/22-10:57:30,108,485,4189,446,493,1117,295,-131,-16,25.55,996.5,0.48,500,41.93
2025/03/22-10:58:00,1202,-254,3828,494,-476,-2132,373,-42,-108,25.11,996.93,0.46,500,39.94
2025/03/22-10:58:30,-1150,-495,4327,421,338,-2338,466,-39,-29,24.53,996.91,0.49,500,39.89
2025/03/22-10:59:00,-603,-161,4382,-244,251,2606,258,-161,-234,25.82,996.57,0.47,500,39.89
2025/03/22-10:59:30,296,192,4354,-384,-246,-1267,349,-214,-33,24.94,996.98,0.49,500,39.49
2025/03/22-11:00:00,-1064,293,4571,79,221,-2240,473,-106,-125,24.72,996.6,0.46,500,41.42
2025/03/22-11:00:30,495,80,4175,-376,-304,-1206,306,-211,-230,25.74,996.64,0.46,500,40.11
2025/03/22-11:01:00,1135,338,3865,-324,-303,-997,202,-120,-185,25.26,996.94,0.46,500,40.23
2025/03/22-11:01:30,-842,-365,4039,-228,27,-2832,451,-82,-16,25.15,996.64,0.47,500,41.68
2025/03/22-11:02:00,-323,10,4196,-361,453,2941,458,-70,-118,25.21,996.8,0.46,500,41.23
2025/03/22-11:02:30,-342,188,4369,249,162,-1926,284,-58,-162,24.55,996.55,0.5,500,39.89
2025/03/22-11:03:00,-1494,478,4168,-432,88,-1018,252,-42,-24,25.54,996.96,0.5,500,40.5
2025/03/22-11:03:30,1016,-185,4040,163,2,-49,320,-168,-22,24.57,996.77,0.47,500,40.07
2025/03/22-11:04:00,-1308,-199,3971,-284,428,-1611,406,-82,-103,25.3,996.91,0.48,500,41.75
2025/03/22-11:04:30,259,481,3937,-262,405,1642,253,-239,-193,25.85,996.51,0.46,500,40.13
2025/03/22-11:05:00,319,453,4296,-206,0,-1910,282,-153,-119,25.41,996.57,0.45,500,41.98
2025/03/22-11:05:30,509,-470,4103,-208,137,924,209,-240,-13,24.69,996.64,0.5,500,39.87
2025/03/22-11:06:00,-1891,-481,3811,-210,-458,-2924,493,-1,-145,25.85,996.56,0.45,500,40.86
2025/03/22-11:06:30,52,100,4167,-170,128,-43,230,-215,-36,24.85,996.55,0.46,500,39.49
2025/03/22-11:07:00,170,-342,4248,246,-485,2010,276,-240,-63,24.93,996.84,0.49,500,40.14
2025/03/22-11:07:30,1485,499,3968,331,460,2906,405,-198,-57,25.97,996.52,0.49,500,41.48
2025/03/22-11:08:00,330,-486,4139,47,-177,1391,281,-140,-33,25.88,996.53,0.48,500,41.83
2025/03/22-11:08:30,1494,-66,4443,-276,-114,2040,236,-145,-213,24.78,996.56,0.46,500,41.34
2025/03/22-11:09:00,1284,416,4194,-65,64,580,479,-140,-247,25.94,996.68,0.47,500,40.32
2025/03/22-11:09:30,-569,-229,4534,261,-37,-1361,200,-1,-61,24.56,996.79,0.45,500,40.77
2025/03/22-11:10:00,1777,-92,4527,410,-374,-2922,310,-226,-36,25.02,996.51,0.5,500,40.02
2025/03/22-11:10:30,747,-443,3916,-383,-79,1802,324,-150,-30,24.82,996.78,0.48,500,40.07
2025/03/22-11:11:00,1349,198,4192,-461,240,-2530,286,-1,-133,25.66,996.5,0.46,500,41.95
2025/03/22-11:11:30,-1272,-74,3865,-10,-232,2437,220,-161,-213,25.64,996.92,0.47,500,39.06
2025/03/22-11:12:00,35,156,4104,-12,475,-2464,466,-15,-195,25.85,996.58,0.45,500,41.24
2025/03/22-11:12:30,-122,-387,4176,72,-402,2509,225,-15,-109,25.98,996.61,0.46,500,40.28
2025/03/22-11:13:00,-1475,-181,3911,458,-414,1678,407,-133,-21,25.7,996.56,0.46,500,40.43
2025/03/22-11:13:30,-1635,-438,4071,-410,-418,1338,229,-124,-172,24.92,996.77,0.48,500,40.22
2025/03/22-11:14:00,-1755,210,4187,-139,22,1815,296,-245,-141,24.76,996.96,0.49,500,41.27
2025/03/22-11:14:30,-1118,-71,4023,-445,-441,2606,402,-216,-18,25.09,996.79,0.46,500,39.55
2025/03/22-11:15:00,-974,483,4136,-78,493,-2933,379,-235,-171,24.7,996.68,0.5,500,40.12
2025/03/22-11:15:30,997,-30,3977,9,-94,-2827,442,-42,-244,25.25,996.73,0.49,500,41.23
2025/03/22-11:16:00,-1983,-171,4180,357,126,-2947,295,-172,-129,25.07,996.65,0.49,500,39.25
2025/03/22-11:16:30,-1000,320,4360,143,88,953,234,-109,-60,25.33,996.89,0.49,500,40.8
2025/03/22-11:17:00,-1493,280,4403,386,-114,-316,288,-123,-241,25.86,996.57,0.46,500,40.63
2025/03/22-11:17:30,-1710,-365,3801,147,8,-228,416,-203,-89,24.98,996.51,0.48,500,39.03
2025/03/22-11:18:00,-1163,126,4573,-342,-423,2260,270,-18,-69,24.87,996.78,0.47,500,41.87
2025/03/22-11:18:30,1111,124,4527,-423,114,-74,317,-148,-242,25.55,996.84,0.49,500,41.41
2025/03/22-11:19:00,-661,-9,4409,444,196,-2067,343,-82,-197,25.24,996.69,0.5,500,40.84
2025/03/22-11:19:30,-412,302,4330,-152,-242,-33,292,-19,-199,25.93,996.7,0.5,500,41.85
2025/03/22-11:20:00,-276,241,3906,-318,-224,-1126,398,-121,-206,25.44,996.55,0.48,500,39.99
2025/03/22-11:20:30,-1026,19,4179,88,-151,-700,402,-73,-194,24.52,996.87,0.46,500,41.91
2025/03/22-11:21:00,1762,300,4400,404,-398,-2453,314,-161,-179,25.85,996.64,0.48,500,40.38
2025/03/22-11:21:30,966,-79,3926,461,258,2279,379,-215,-131,24.74,996.93,0.47,500,39.67
2025/03/22-11:22:00,1142,-428,4020,-103,-200,-2716,219,-27,-1,25.85,996.89,0.47,500,40.14
2025/03/22-11:22:30,495,233,4378,-395,-9,-959,392,-189,-208,25.87,996.51,0.47,500,41.01
2025/03/22-11:23:00,-1383,376,4279,-448,-192,-2011,253,-27,-39,25.53,996.9,0.49,500,39.69
2025/03/22-11:23:30,893,-137,4528,42,-445,1273,421,-81,-44,25.16,996.92,0.47,500,40.09
2025/03/22-11:24:00,868,-265,4387,-296,234,1210,236,-149,-165,24.86,996.51,0.49,500,39.54
2025/03/22-11:24:30,119,369,4018,402,-123,645,476,-157,-5,24.71,996.89,0.48,500,39.98
2025/03/22-11:25:00,-1587,-132,3820,-256,-336,563,291,-60,-39,25.4,996.82,0.47,500,41.71
2025/03/22-11:25:30,-1989,133,4308,-259,-9,-377,319,-73,-43,25.55,996.97,0.5,500,40.43
2025/03/22-11:26:00,1671,-493,3995,-85,-230,1985,398,-225,-145,25.02,996.87,0.5,500,40.08
2025/03/22-11:26:30,689,-205,3930,303,268,-1904,402,-173,-26,25.99,996.5,0.49,500,40.08
2025/03/22-11:27:00,-1814,384,4422,-434,375,-2021,462,-248,-185,24.66,996.78,0.45,500,41.15
2025/03/22-11:27:30,-1909,-275,4234,430,-221,164,474,-27,-203,24.85,997.0,0.46,500,40.68
2025/03/22-11:28:00,1746,-80,4063,167,-153,2674,297,-193,-205,25.81,996.88,0.46,500,40.74
2025/03/22-11:28:30,1798,222,4514,-80,-487,-2312,459,-155,-71,24.83,996.84,0.48,500,39.73
2025/03/22-11:29:00,536,-294,4347,241,338,-2298,257,-39,-8,24.92,996.82,0.46,500,40.61
2025/03/22-11:29:30,-148,180,3830,133,440,2902,316,-32,-110,24.9,996.7,0.46,500,40.34
2025/03/22-11:30:00,-916,273,4091,186,135,-2841,239,-2,-26,24.52,996.69,0.45,500,40.71
2025/03/22-11:30:30,415,-403,4025,53,-232,-1264,301,-125,-110,24.74,996.93,0.45,500,40.38
2025/03/22-11:31:00,1955,-97,4527,465,227,-2751,432,-234,-228,25.01,996.67,0.49,500,40.82
2025/03/22-11:31:30,860,201,4195,256,162,-1573,377,-218,-47,24.51,996.64,0.45,500,40.76
2025/03/22-11:32:00,-1079,-270,3920,-476,-268,-2558,241,-244,-115,24.74,996.59,0.48,500,39.39
2025/03/22-11:32:30,1835,412,4226,54,489,248,429,-228,-121,25.15,996.67,0.48,500,41.94
2025/03/22-11:33:00,-472,299,4147,148,-82,-1224,361,-149,-182,25.39,996.61,0.46,500,41.51
2025/03/22-11:33:30,573,11,3834,-66,-440,-23,391,-35,-185,24.93,996.96,0.46,500,40.52
2025/03/22-11:34:00,1505,92,4427,164,-248,-2426,362,-71,-176,25.63,996.75,0.48,500,41.4
2025/03/22-11:34:30,741,-94,4439,295,-215,-2020,473,-12,-36,24.57,996.83,0.46,500,39.75
2025/03/22-11:35:00,724,25,4214,-41,209,2814,316,-178,-5,25.39,996.73,0.46,500,39.16
2025/03/22-11:35:30,1786,200,3876,-241,374,-2572,314,-161,-150,25.04,996.85,0.46,500,41.29
2025/03/22-11:36:00,1869,274,4499,234,-322,-694,256,-73,-174,25.95,996.7,0.49,500,39.13
2025/03/22-11:36:30,-1210,182,4477,292,257,2997,420,-76,-88,25.74,996.65,0.46,500,41.43
2025/03/22-11:37:00,-1171,-454,4171,293,-363,-2201,208,-245,-97,24.86,996.83,0.49,500,41.3
2025/03/22-11:37:30,-1584,-485,4557,-269,85,-97,453,-2,-21,24.99,996.72,0.48,500,40.83
2025/03/22-11:38:00,536,321,4397,-470,-469,2933,389,-54,-182,25.2,996.93,0.46,500,39.56
2025/03/22-11:38:30,-145,-417,4491,-179,-429,2973,277,-54,-10,25.06,996.85,0.46,500,40.9
2025/03/22-11:39:00,531,-126,4237,-107,80,-835,455,-144,-73,24.73,996.69,0.46,500,40.21
2025/03/22-11:39:30,-869,-460,4582,-256,58,-1581,299,-180,-237,25.58,996.75,0.49,500,39.34
2025/03/22-11:40:00,-1614,472,4222,-275,-206,-2756,321,-200,-235,25.54,996.89,0.48,500,40.52
2025/03/22-11:40:30,860,255,4012,99,372,802,390,-239,-120,24.88,996.76,0.45,500,39.38
2025/03/22-11:41:00,-1103,-166,4475,359,-298,-2421,249,-79,-16,25.34,996.84,0.47,500,39.77
2025/03/22-11:41:30,-798,-85,4454,-58,317,-491,303,-228,-54,25.81,996.95,0.49,500,40.61
2025/03/22-11:42:00,-1351,-138,4242,-101,-454,-2327,386,-31,-128,24.76,996.68,0.49,500,39.88
2025/03/22-11:42:30,846,-222,4033,-326,-136,-489,234,-146,-40,25.28,996.68,0.48,500,39.95
2025/03/22-11:43:00,1022,173,4205,319,-144,461,490,-194,-11,25.4,996.86,0.48,500,39.4
2025/03/22-11:43:30,1095,-434,4098,-440,-148,1968,341,-151,-160,24.5,996.94,0.46,500,41.56
2025/03/22-11:44:00,-816,-155,4131,-341,-164,-1320,465,-69,-142,24.88,996.94,0.48,500,40.93
2025/03/22-11:44:30,-294,-259,4395,176,-37,1664,244,-193,-229,25.13,996.9,0.45,500,41.35
2025/03/22-11:45:00,1945,-456,3862,-211,114,-814,207,-13,-155,25.0,996.98,0.48,500,40.85
2025/03/22-11:45:30,-4,-63,3808,172,-119,-2740,499,-53,-249,25.64,996.52,0.46,500,39.75
2025/03/22-11:46:00,-1815,-84,4462,105,-6,1934,310,-71,-157,25.76,997.0,0.47,500,41.78
