time,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
2025/03/22-15:17:38,106,-26,4107,0,1,2
2025/03/23-09:38:07,113,-28,4090,1,0,0
2025/03/25-14:02:36,120,-11,4090,-2,2,0
2025/03/21-13:01:35,128,-6,4103,2,0,-2
2025/03/23-04:09:10,108,-6,4114,-1,-2,-2
2025/03/25-06:06:51,116,-12,4099,1,1,-2
2025/03/24-18:30:25,124,-26,4081,-1,0,2
2025/03/21-09:38:03,119,-27,4091,-2,1,1
2025/03/22-01:42:01,119,-29,4109,1,0,-2
2025/03/21-07:21:04,111,-30,4094,-1,0,-2
2025/03/22-21:39:24,124,-6,4089,2,-1,-2
2025/03/22-16:27:50,125,-26,4088,-2,-2,-1
2025/03/21-11:29:46,112,-13,4093,2,1,-2
2025/03/23-13:08:59,102,-25,4098,1,-2,0
2025/03/24-16:56:11,110,-1,4091,2,2,-1
2025/03/24-11:57:41,113,-28,4080,0,-2,2
2025/03/25-07:58:23,126,-11,4093,-1,1,-2
2025/03/23-17:32:59,113,-18,4112,2,0,2
2025/03/22-00:24:25,129,-1,4103,0,-1,0
2025/03/21-08:19:48,114,-11,4089,0,-1,-2
2025/03/25-14:24:37,104,-14,4109,-1,1,-2
2025/03/22-21:17:04,110,-13,4118,2,-1,1
2025/03/21-20:47:44,114,-25,4081,-2,1,2
2025/03/24-02:09:53,108,-8,4092,1,-2,0
2025/03/24-19:28:52,120,-1,4090,-1,0,1
2025/03/25-04:55:07,127,-29,4086,-1,2,2
2025/03/22-00:39:13,127,-24,4113,-1,-2,2
2025/03/22-13:19:37,102,-8,4102,0,1,-2
2025/03/23-04:05:12,108,-5,4091,1,1,-2
2025/03/21-17:58:03,117,-2,4097,-1,1,0
2025/03/22-14:25:46,113,-29,4117,1,0,-2
2025/03/22-11:51:09,116,-12,4089,2,-2,-1
2025/03/23-09:45:58,100,-26,4083,-1,2,-1
2025/03/25-07:04:47,100,-16,4093,0,-1,1
2025/03/25-19:04:24,115,-20,4119,-1,2,2
2025/03/23-14:51:45,126,-28,4116,1,-2,2
2025/03/25-19:48:20,124,-2,4086,1,1,-2
2025/03/23-13:52:53,118,-26,4098,0,1,1
2025/03/24-14:27:25,100,-4,4081,-2,-2,2
2025/03/21-07:46:46,122,-2,4094,-2,1,0
2025/03/25-17:03:35,104,-16,4105,0,-1,-2
2025/03/22-11:17:54,114,-6,4082,1,2,-1
2025/03/24-00:14:03,112,-19,4111,2,2,0
2025/03/23-07:26:15,105,-25,4104,0,-1,2
2025/03/22-10:15:37,103,-10,4091,2,1,2
2025/03/22-14:23:50,124,-13,4086,0,-1,1
2025/03/21-16:04:34,101,-23,4100,-1,-2,0
2025/03/21-04:59:02,121,-16,4104,0,-2,0
2025/03/21-02:43:29,121,-3,4098,0,-1,2
2025/03/22-00:59:59,114,-3,4089,0,1,0
2025/03/21-23:33:12,126,-5,4093,1,0,1
2025/03/23-07:53:03,111,-8,4117,-2,-1,2
2025/03/22-12:09:05,108,-30,4088,-2,-1,0
2025/03/24-02:08:35,115,-30,4119,-2,-2,0
2025/03/21-23:23:23,101,-21,4118,-1,0,1
2025/03/22-16:50:07,108,-15,4115,0,-2,-2
2025/03/22-02:02:49,114,-16,4101,-2,1,0
2025/03/22-01:38:30,115,-27,4099,-2,1,1
2025/03/23-02:23:57,111,-9,4082,-2,-2,1
2025/03/21-08:39:40,111,-16,4109,-2,0,-1
2025/03/23-03:28:29,113,-18,4089,-1,-2,-1
2025/03/23-15:40:20,110,-10,4091,-2,1,2
2025/03/23-13:58:19,129,-15,4107,-2,-1,1
2025/03/24-09:58:05,109,-14,4092,-2,-2,-2
2025/03/25-05:56:55,103,-15,4108,-2,1,-2
2025/03/23-18:23:52,102,-6,4106,1,0,-1
2025/03/22-00:15:48,106,-29,4100,2,1,2
2025/03/24-17:36:03,123,-18,4091,0,0,0
2025/03/22-08:25:38,106,-25,4114,0,0,-2
2025/03/22-11:30:14,110,-12,4088,1,0,1
2025/03/22-17:41:14,117,-22,4091,1,1,0
2025/03/24-14:12:38,122,-25,4089,1,0,1
2025/03/21-07:24:37,119,-7,4095,2,-1,-2
2025/03/23-13:25:55,120,-15,4088,-2,-2,1
2025/03/24-01:29:16,126,-12,4104,1,2,2
2025/03/21-13:15:06,101,-14,4105,1,0,-2
2025/03/25-10:58:57,110,-27,4102,1,2,1
2025/03/25-18:49:41,125,-9,4082,-2,0,-1
2025/03/21-06:50:10,102,-25,4111,2,-2,-1
2025/03/23-02:31:29,125,-29,4088,0,2,1
2025/03/22-06:39:48,113,-16,4086,1,0,-2
2025/03/25-09:12:58,112,-14,4102,0,-2,-1
2025/03/21-04:16:05,109,-17,4112,2,2,0
2025/03/21-12:42:43,110,-25,4082,-2,0,1
2025/03/23-20:02:42,117,-7,4083,-1,-2,-1
2025/03/23-21:38:52,106,-9,4111,2,2,-1
2025/03/21-16:38:25,118,-7,4116,-1,-2,-2
2025/03/22-15:42:07,106,-2,4111,0,0,-2
2025/03/25-10:45:29,117,-2,4111,-2,1,-1
2025/03/22-07:12:50,103,-29,4110,-1,-2,-1
2025/03/23-19:08:27,114,-1,4089,1,-2,1
2025/03/25-11:16:16,127,-5,4111,-2,1,-1
2025/03/23-04:45:52,125,-14,4083,-2,-2,2
2025/03/25-04:45:31,127,-10,4116,-2,-1,2
2025/03/25-22:48:47,111,-11,4102,-1,-2,-1
2025/03/21-21:03:16,125,-20,4098,-1,1,-1
2025/03/21-07:47:55,108,-17,4089,2,1,2
2025/03/21-19:46:41,101,-15,4092,1,0,2
2025/03/23-11:44:28,121,-21,4109,-1,1,-2
2025/03/25-03:03:06,112,-1,4102,1,1,-2
2025/03/24-06:20:51,118,-23,4102,-2,0,2
2025/03/24-16:00:05,123,-17,4088,2,1,2
2025/03/24-09:42:43,110,-7,4113,1,1,-1
2025/03/21-18:06:43,109,-17,4089,-2,0,0
2025/03/24-06:45:31,121,-5,4093,-2,2,-1
2025/03/21-20:56:13,118,-8,4107,-2,0,-1
2025/03/24-22:56:50,115,-27,4093,-2,1,-2
2025/03/23-11:34:50,117,-17,4113,-1,0,0
2025/03/23-16:52:07,100,-30,4092,-1,2,1
2025/03/24-14:09:40,129,-4,4116,1,2,-1
2025/03/23-04:23:38,110,-7,4107,-2,1,-2
2025/03/22-18:33:55,108,-15,4084,1,0,1
2025/03/21-22:46:15,126,-10,4102,-2,-2,-1
2025/03/24-00:59:32,103,-15,4092,-2,-2,1
2025/03/24-11:26:33,103,-30,4082,1,-2,0
2025/03/22-02:11:03,103,-15,4094,-1,2,1
2025/03/22-22:30:17,100,-2,4115,2,0,2
2025/03/25-01:03:49,109,-16,4081,2,0,-2
2025/03/24-14:26:21,126,-29,4096,0,0,2
2025/03/22-06:53:50,128,-1,4102,2,1,-1
2025/03/22-13:30:07,119,-30,4095,2,1,1
2025/03/24-12:13:09,123,-18,4116,-2,1,2
2025/03/25-14:07:26,105,-24,4084,-1,-1,-2
2025/03/25-21:49:54,112,-24,4119,0,0,1
2025/03/21-12:09:13,107,-25,4106,1,1,1
2025/03/22-05:06:30,111,-9,4115,0,-1,0
2025/03/23-12:57:28,125,-25,4109,1,0,-1
2025/03/23-18:28:27,110,-8,4094,0,-1,2
2025/03/21-05:23:50,106,-7,4084,0,2,-1
2025/03/23-15:52:46,128,-10,4105,-1,-2,-2
2025/03/23-10:00:22,116,-15,4103,1,0,-2
2025/03/24-21:54:54,112,-13,4100,-2,0,2
2025/03/24-09:04:05,106,-6,4098,1,-2,-2
2025/03/23-19:36:37,106,-3,4083,-2,2,0
2025/03/24-23:39:45,129,-4,4098,-2,0,-1
2025/03/23-23:31:05,124,-23,4092,0,0,2
2025/03/22-11:35:29,112,-4,4084,2,-2,-2
2025/03/23-23:50:03,120,-15,4095,2,-2,1
2025/03/22-06:06:48,129,-10,4104,1,1,-2
2025/03/23-15:33:07,100,-23,4093,-2,1,0
2025/03/24-16:18:14,116,-9,4111,-2,-2,-1
2025/03/22-06:06:24,118,-1,4119,0,0,0
2025/03/21-01:06:32,119,-6,4088,0,-1,0
2025/03/21-14:48:00,104,-28,4118,2,-2,-1
2025/03/22-13:52:02,103,-2,4093,1,-2,1
2025/03/25-09:11:14,125,-19,4081,-2,-1,-1
2025/03/21-07:40:10,123,-1,4081,1,1,-1
2025/03/21-00:07:29,110,-8,4090,1,-1,-2
2025/03/21-08:15:09,102,-6,4114,2,-2,2
2025/03/22-08:24:57,101,-8,4111,-2,-1,-1
2025/03/25-20:22:34,111,-14,4091,2,2,-1
2025/03/22-17:20:42,109,-3,4101,-1,2,0
2025/03/22-19:28:01,117,-4,4109,-1,-2,-2
2025/03/22-16:43:06,113,-18,4097,1,0,-1
2025/03/24-03:08:00,126,-6,4091,1,0,1
2025/03/22-08:02:43,126,-20,4118,-2,-1,0
2025/03/24-01:11:15,124,-27,4119,-1,2,2
2025/03/24-18:46:01,107,-3,4094,1,-1,2
2025/03/24-22:41:50,118,-11,4107,2,0,-2
2025/03/25-02:56:52,129,-14,4095,2,-2,1
2025/03/23-01:54:15,126,-15,4110,0,-2,-2
2025/03/22-12:22:26,105,-7,4103,1,2,-1
2025/03/22-13:15:03,106,-22,4083,-2,2,-2
2025/03/21-12:21:11,107,-2,4114,2,1,2
2025/03/24-05:55:27,125,-9,4082,2,2,0
2025/03/24-20:12:43,100,-21,4112,-1,1,2
2025/03/21-09:51:01,121,-20,4117,2,0,2
2025/03/22-09:19:32,120,-13,4086,0,-1,2
2025/03/22-15:02:22,105,-3,4082,-2,-1,-2
2025/03/21-13:20:42,125,-24,4088,-2,2,2
2025/03/23-11:59:23,127,-20,4094,1,1,2
2025/03/21-22:33:58,118,-30,4118,-2,1,-1
2025/03/21-10:43:49,110,-2,4100,-2,0,-1
2025/03/25-10:07:44,104,-27,4082,-1,2,-2
2025/03/23-17:20:41,122,-5,4112,0,-2,1
2025/03/22-10:34:00,118,-23,4108,1,-2,-2
2025/03/25-04:38:42,116,-7,4087,2,-2,-2
2025/03/22-18:29:52,108,-6,4095,1,-2,-2
2025/03/25-12:37:51,112,-2,4090,-2,1,-2
2025/03/25-20:02:38,115,-23,4081,-1,-2,0
2025/03/23-11:08:57,128,-8,4083,2,1,0
2025/03/23-16:13:36,113,-23,4090,1,-2,-1
2025/03/25-14:46:57,121,-30,4115,-1,2,-1
2025/03/24-11:04:47,125,-28,4119,1,1,-1
2025/03/23-23:00:27,109,-20,4084,2,0,1
2025/03/25-01:00:25,106,-17,4091,2,-1,0
2025/03/21-13:46:21,118,-9,4106,-2,-2,-2
2025/03/21-06:56:50,112,-7,4104,-2,-2,2
2025/03/24-09:59:31,116,-15,4102,2,0,-1
2025/03/23-12:25:21,120,-30,4095,-2,1,2
2025/03/24-00:25:14,106,-1,4110,-2,-2,2
2025/03/21-00:47:11,124,-16,4105,0,-1,-1
2025/03/22-22:56:10,115,-29,4096,1,0,-1
2025/03/24-11:02:07,118,-30,4081,0,-2,-1
2025/03/24-13:11:40,103,-26,4115,-2,-2,-2
2025/03/22-01:18:05,112,-21,4105,0,2,-2
2025/03/22-12:53:10,124,-4,4117,2,0,-1
2025/03/24-19:36:30,105,-19,4119,1,2,-1
2025/03/25-01:53:04,103,-30,4091,2,-1,1
2025/03/22-05:14:35,126,-4,4112,1,0,-1
2025/03/25-19:36:16,101,-4,4086,-1,1,-2
2025/03/25-13:34:05,121,-21,4088,1,2,1
2025/03/24-02:58:19,104,-3,4084,1,0,2
2025/03/23-02:24:50,115,-8,4089,2,-1,-2
2025/03/22-22:27:57,107,-27,4096,0,-2,-2
2025/03/23-05:02:14,111,-21,4114,1,-2,-2
2025/03/21-06:01:07,110,-7,4105,1,-2,-1
2025/03/25-17:03:26,123,-12,4115,0,-1,-2
2025/03/24-02:51:52,128,-17,4119,-1,-1,0
2025/03/24-08:32:45,111,-19,4092,1,0,-2
2025/03/25-15:18:32,107,-16,4118,0,-2,0
2025/03/25-11:50:14,112,-29,4113,0,1,-2
2025/03/21-15:04:28,112,-25,4087,-2,1,2
2025/03/21-08:05:37,126,-18,4090,1,0,0
2025/03/22-05:47:26,118,-21,4089,1,-1,0
2025/03/21-03:38:45,113,-10,4099,1,2,1
2025/03/25-15:02:32,100,-3,4099,0,2,-1
2025/03/23-21:40:33,125,-3,4082,1,1,0
2025/03/24-08:07:26,112,-29,4097,2,2,2
2025/03/23-05:39:42,117,-15,4097,1,0,-2
2025/03/24-09:03:16,124,-4,4093,2,-2,1
2025/03/23-17:39:04,120,-19,4085,-2,-2,1
2025/03/24-06:32:49,107,-24,4099,-1,-2,1
2025/03/25-15:11:18,107,-28,4086,-2,0,2
2025/03/21-06:43:39,120,-27,4108,2,0,-2
2025/03/25-01:37:31,117,-11,4093,-1,1,2
2025/03/21-04:34:07,104,-8,4089,-1,1,1
2025/03/25-07:30:39,115,-23,4084,1,2,-2
2025/03/23-17:21:15,100,-27,4083,0,0,2
2025/03/24-15:54:25,108,-13,4107,-2,-1,1
2025/03/22-00:31:58,109,-30,4112,0,-1,2
2025/03/25-16:20:20,102,-26,4109,-2,-2,2
2025/03/24-04:31:55,107,-15,4119,-2,1,-2
2025/03/23-09:54:48,102,-20,4105,1,0,1
2025/03/23-13:20:42,105,-30,4087,-1,2,1
2025/03/22-18:07:57,101,-8,4101,2,2,2
2025/03/23-17:51:31,119,-12,4101,-2,0,-1
2025/03/21-16:01:05,127,-7,4117,-2,2,0
2025/03/21-06:22:54,103,-25,4115,0,2,2
2025/03/25-13:58:47,107,-9,4083,2,-1,1
2025/03/21-19:49:06,110,-17,4087,0,-2,-1
2025/03/25-20:27:35,101,-8,4108,0,-1,2
2025/03/23-01:51:36,100,-1,4085,-2,0,-1
2025/03/21-04:38:05,123,-23,4109,1,-2,2
2025/03/23-23:15:22,100,-12,4109,0,1,-1
2025/03/23-12:33:34,127,-22,4092,1,-2,0
2025/03/25-16:27:53,117,-5,4102,1,0,-2
2025/03/24-07:07:11,118,-9,4083,1,-1,2
2025/03/24-16:50:02,121,-6,4096,-2,-2,-2
2025/03/25-04:07:20,125,-25,4109,1,0,0
2025/03/25-22:19:59,127,-4,4119,0,-1,0
2025/03/23-06:16:20,121,-11,4095,-2,-1,0
2025/03/22-22:07:23,117,-25,4111,-2,2,2
2025/03/23-18:39:38,127,-24,4119,-2,-1,-1
2025/03/25-07:21:21,121,-20,4100,-2,1,1
2025/03/24-14:18:05,117,-14,4080,2,-1,1
2025/03/21-22:50:02,101,-30,4116,1,-1,1
2025/03/24-20:34:00,126,-12,4097,1,0,0
2025/03/21-18:55:05,109,-16,4087,-2,-2,2
2025/03/22-08:33:52,123,-16,4095,0,1,2
2025/03/24-09:44:56,118,-11,4092,1,2,-2
2025/03/22-09:09:51,119,-25,4105,-2,0,-1
2025/03/22-22:02:19,127,-22,4093,-2,0,1
2025/03/22-08:00:07,119,-7,4102,-2,0,-2
2025/03/22-06:53:42,100,-28,4117,-2,-2,-1
2025/03/21-14:34:02,106,-11,4085,-2,-2,-1
2025/03/21-09:36:12,110,-27,4086,0,1,0
2025/03/23-04:46:05,117,-6,4116,-2,1,2
2025/03/22-01:30:51,115,-28,4098,1,0,1
2025/03/22-22:45:47,100,-2,4096,0,1,-2
2025/03/25-17:36:53,127,-18,4084,1,-2,-1
2025/03/22-00:18:49,106,-26,4098,-2,1,1
2025/03/24-05:22:26,124,-4,4110,-1,0,0
2025/03/23-00:12:22,119,-13,4110,2,1,-1
2025/03/25-01:46:33,112,-17,4100,-2,-2,-2
2025/03/22-04:24:11,126,-26,4103,-2,2,1
2025/03/23-15:01:20,113,-30,4095,-1,0,0
2025/03/22-03:13:30,103,-28,4112,-2,-1,0
2025/03/23-02:18:22,105,-18,4107,2,2,0
2025/03/25-04:41:44,107,-1,4093,-2,-1,-2
2025/03/24-21:13:49,109,-19,4093,-1,-1,-1
2025/03/22-22:08:31,125,-23,4096,-2,2,-1
2025/03/21-00:41:21,126,-10,4081,-2,2,-1
2025/03/24-08:28:04,118,-16,4116,1,2,2
2025/03/23-03:41:51,121,-27,4089,2,-2,-2
2025/03/23-19:46:18,125,-6,4099,-1,-2,1
2025/03/24-07:09:22,115,-22,4098,-1,1,1
2025/03/22-00:04:55,115,-30,4106,1,1,0
2025/03/25-10:44:08,101,-17,4093,2,0,-2
2025/03/23-12:09:28,117,-30,4087,-1,2,-1
2025/03/24-02:15:31,113,-16,4081,-1,-2,0
2025/03/22-20:13:29,124,-14,4106,2,1,-1
2025/03/24-12:06:32,105,-15,4116,0,-2,0
2025/03/22-18:54:15,103,-1,4089,-1,0,-1
2025/03/25-12:19:56,104,-30,4080,-1,2,-2
2025/03/24-22:23:07,106,-4,4113,0,-1,-2
2025/03/22-13:20:59,126,-5,4099,2,0,0
2025/03/22-23:46:14,122,-8,4115,0,0,-2
2025/03/25-14:55:18,124,-2,4107,-1,-1,0
2025/03/23-13:28:44,116,-21,4082,2,0,-2
2025/03/23-22:48:01,123,-2,4088,2,-2,-1
2025/03/21-05:01:35,125,-19,4115,-1,-1,2
2025/03/23-20:11:06,103,-25,4102,2,-2,1
2025/03/21-22:16:30,111,-30,4096,1,-2,-1
2025/03/24-18:04:21,103,-26,4107,-2,1,-2
2025/03/23-08:44:17,103,-8,4100,2,0,-1
2025/03/21-03:09:21,106,-14,4085,-2,1,1
2025/03/25-04:07:52,103,-13,4093,-2,-2,0
2025/03/25-23:30:47,123,-10,4115,2,2,-2
2025/03/23-01:49:53,126,-28,4117,1,-2,-2
2025/03/24-20:38:34,109,-30,4096,-1,-1,1
2025/03/22-20:10:54,128,-7,4096,0,2,2
2025/03/25-23:20:06,129,-18,4114,1,-2,0
2025/03/23-01:59:52,112,-12,4091,0,-1,0
2025/03/22-04:58:53,103,-22,4111,-2,-1,-2
2025/03/21-15:27:11,119,-5,4097,0,2,1
2025/03/25-04:52:26,106,-4,4085,-1,-1,-1
2025/03/25-03:06:26,108,-27,4089,-2,0,1
2025/03/22-10:35:32,111,-1,4101,-2,-1,0
2025/03/23-01:05:09,123,-22,4099,-1,-2,-2
2025/03/21-05:54:24,124,-26,4108,0,-1,1
2025/03/24-04:15:20,100,-20,4101,0,1,0
2025/03/23-18:07:33,102,-11,4090,-2,2,0
2025/03/23-15:41:40,114,-9,4084,0,0,2
2025/03/23-10:23:53,106,-1,4113,-1,1,-2
2025/03/24-09:35:28,129,-26,4105,2,1,0
2025/03/21-12:58:20,121,-18,4118,-1,-2,0
2025/03/25-16:14:00,129,-14,4096,0,-1,0
2025/03/24-02:07:30,112,-6,4115,-2,2,0
2025/03/21-09:16:52,125,-6,4119,2,2,-1
2025/03/24-04:09:31,120,-30,4119,2,1,0
2025/03/22-08:47:25,112,-16,4101,-1,-2,2
2025/03/22-21:27:09,123,-26,4100,-2,-1,-2
2025/03/21-18:03:23,107,-28,4104,-2,0,1
2025/03/21-04:50:51,102,-18,4091,-2,1,1
2025/03/25-18:55:09,117,-20,4091,-1,0,2
2025/03/22-12:39:40,128,-12,4113,1,0,0
2025/03/21-11:45:00,107,-30,4089,-1,0,1
2025/03/23-11:21:13,113,-12,4112,1,-1,2
2025/03/24-05:59:55,110,-16,4093,2,1,2
2025/03/23-01:17:16,101,-8,4117,-1,1,2
2025/03/21-17:44:18,129,-3,4118,1,0,1
2025/03/23-19:09:56,122,-5,4087,-2,-1,0
2025/03/25-16:40:56,125,-14,4107,0,1,-1
2025/03/24-08:54:12,122,-29,4096,2,-2,-1
2025/03/23-04:07:41,115,-2,4103,0,-2,-2
2025/03/25-06:50:54,106,-23,4107,2,-1,-1
2025/03/21-10:26:19,104,-21,4094,1,1,0
2025/03/24-09:36:02,128,-20,4086,2,2,1
2025/03/24-00:06:14,125,-29,4112,-2,1,-2
2025/03/22-07:40:27,117,-4,4119,-1,1,1
2025/03/22-07:49:36,127,-9,4086,-2,-2,0
2025/03/25-08:55:08,126,-27,4085,0,-2,1
2025/03/23-09:33:07,125,-1,4092,0,2,2
2025/03/23-16:56:26,125,-5,4107,2,-2,1
2025/03/24-22:03:09,106,-28,4100,1,2,-2
2025/03/22-13:29:33,100,-1,4109,2,1,2
2025/03/22-13:16:31,108,-26,4088,2,-1,1
2025/03/21-09:55:58,117,-13,4115,0,0,1
2025/03/21-10:23:54,117,-3,4115,1,0,-2
2025/03/24-06:42:46,126,-22,4089,0,0,-2
2025/03/24-00:46:37,123,-27,4114,-1,1,1
2025/03/25-20:53:06,102,-11,4117,0,1,0
2025/03/21-04:08:30,104,-3,4115,2,-2,0
2025/03/24-20:47:35,114,-20,4114,-2,1,2
2025/03/22-21:02:46,111,-17,4107,2,-2,2
2025/03/22-22:37:56,118,-29,4094,1,2,1
2025/03/23-00:12:06,123,-30,4083,-2,1,-1
2025/03/22-18:23:43,106,-1,4105,1,1,-1
2025/03/24-12:09:47,106,-10,4101,1,-1,-1
2025/03/23-02:56:32,120,-23,4080,2,0,-1
2025/03/23-23:00:51,117,-30,4087,-1,1,-2
2025/03/23-16:37:50,111,-4,4093,1,-2,1
2025/03/22-18:14:43,114,-5,4084,2,-1,2
2025/03/25-05:31:07,101,-13,4092,-2,-1,-1
2025/03/24-23:16:39,104,-18,4113,-1,0,1
2025/03/21-14:57:20,116,-15,4119,1,2,1
2025/03/21-20:20:01,121,-2,4100,2,-2,0
2025/03/21-08:42:53,110,-29,4116,2,0,-1
2025/03/23-22:58:55,101,-2,4084,-2,-1,0
2025/03/24-04:52:55,122,-21,4088,1,0,2
2025/03/24-07:48:31,113,-29,4098,2,-1,1
2025/03/24-14:09:59,100,-26,4097,-1,-1,0
2025/03/23-21:16:54,125,-6,4086,-2,0,0
2025/03/23-23:17:55,122,-24,4091,0,2,0
2025/03/23-19:03:25,104,-23,4091,-1,1,1
2025/03/24-22:18:51,122,-15,4082,0,0,-2
2025/03/22-00:59:47,113,-9,4107,-1,-2,2
2025/03/25-14:22:44,121,-8,4117,1,-1,0
2025/03/25-10:21:30,102,-27,4115,0,2,-2
2025/03/25-11:20:00,114,-11,4118,2,-1,0
2025/03/21-00:15:27,107,-13,4092,2,0,-1
2025/03/25-15:18:16,100,-19,4091,1,-2,0
2025/03/24-11:33:04,113,-9,4090,0,-1,-1
2025/03/23-15:37:58,113,-1,4110,2,0,-2
2025/03/24-02:47:47,107,-15,4096,2,0,2
2025/03/24-11:12:25,104,-29,4089,-2,1,0
2025/03/21-19:18:19,127,-27,4113,-2,2,-2
2025/03/23-11:57:38,111,-10,4103,2,0,1
2025/03/22-01:28:42,109,-24,4099,-1,2,-1
2025/03/22-16:41:17,108,-15,4098,1,-1,2
2025/03/23-11:47:52,106,-26,4100,2,2,-1
2025/03/25-23:05:26,105,-22,4106,-1,-1,1
2025/03/23-04:43:58,106,-9,4106,2,-1,0
2025/03/21-17:43:50,122,-23,4084,1,-1,0
2025/03/25-19:14:46,126,-4,4119,-1,-1,-2
2025/03/25-08:34:22,114,-21,4105,0,-1,-2
2025/03/24-03:19:33,113,-9,4094,0,-1,0
2025/03/23-07:53:55,129,-9,4083,0,-1,-1
2025/03/24-18:01:05,121,-17,4090,2,0,-1
2025/03/25-18:32:18,106,-25,4089,0,-2,1
2025/03/24-15:33:02,119,-20,4100,-2,-2,0
2025/03/21-07:16:41,129,-8,4114,0,-2,2
2025/03/23-04:30:30,124,-30,4091,-1,0,-2
2025/03/21-11:02:53,115,-29,4081,0,1,0
2025/03/25-08:49:11,103,-26,4119,0,1,2
2025/03/21-05:33:16,108,-1,4117,2,-1,0
2025/03/23-18:54:14,115,-21,4103,2,-2,-2
2025/03/21-12:27:10,128,-24,4097,-1,-1,2
2025/03/22-21:55:34,112,-8,4114,1,0,-2
2025/03/23-07:03:28,111,-17,4115,-1,-2,1
2025/03/23-09:31:45,113,-12,4082,-1,-1,-2
2025/03/23-01:26:40,101,-23,4095,-2,0,0
2025/03/23-05:30:05,104,-9,4104,1,0,1
2025/03/21-01:27:44,104,-13,4096,2,-2,-2
2025/03/23-16:31:01,127,-3,4092,2,-2,-1
2025/03/25-21:45:45,118,-18,4098,-1,2,1
2025/03/23-07:14:32,119,-14,4114,2,2,-2
2025/03/25-05:31:15,102,-3,4089,1,0,0
2025/03/25-19:00:08,101,-1,4113,1,1,-2
2025/03/25-09:11:27,113,-29,4092,1,2,-1
2025/03/22-07:26:06,121,-12,4102,-2,-2,-2
2025/03/23-10:55:11,111,-8,4109,-1,-1,-2
2025/03/22-17:34:33,129,-6,4105,-2,0,0
2025/03/23-09:41:38,120,-10,4097,-2,-1,0
2025/03/21-19:02:54,120,-19,4100,-1,1,-2
2025/03/24-09:55:38,117,-17,4116,1,-2,-1
2025/03/22-01:37:37,126,-9,4109,2,0,1
2025/03/25-04:22:11,120,-1,4088,1,-2,-1
2025/03/21-20:59:45,116,-30,4081,0,-1,0
2025/03/23-06:52:04,121,-3,4080,-1,0,-1
2025/03/22-17:22:34,101,-26,4089,2,-1,0
2025/03/25-04:37:42,100,-24,4116,0,-1,0
2025/03/23-06:16:53,124,-20,4107,-2,2,0
2025/03/24-17:40:07,109,-13,4092,-2,-2,2
2025/03/23-08:41:20,124,-23,4086,0,-2,-2
2025/03/24-09:28:50,119,-6,4103,-2,-1,2
2025/03/25-14:04:00,100,-19,4092,0,0,-1
2025/03/25-16:52:20,121,-5,4113,0,2,1
2025/03/25-15:56:11,102,-7,4119,2,1,-1
2025/03/23-22:23:32,107,-17,4090,-1,0,-1
2025/03/23-19:25:08,106,-11,4094,2,0,0
2025/03/25-09:34:26,117,-19,4107,0,-2,-1
2025/03/23-08:59:55,127,-14,4107,1,2,0
2025/03/22-14:18:11,106,-20,4092,-1,-2,0
2025/03/21-23:08:39,129,-14,4100,-1,-2,-2
2025/03/23-08:55:32,119,-5,4094,2,1,2
2025/03/21-19:58:20,109,-17,4092,2,2,0
2025/03/24-05:40:10,106,-25,4094,1,-1,-2
2025/03/23-19:10:24,102,-10,4115,-2,-2,2
2025/03/25-05:28:54,129,-3,4100,-1,1,0
2025/03/23-05:46:07,108,-14,4083,2,-1,1
2025/03/22-08:51:29,128,-26,4086,2,2,-1
2025/03/24-02:56:11,115,-16,4080,1,1,-2
2025/03/23-19:41:22,129,-5,4117,1,1,-2
2025/03/25-14:39:30,104,-16,4080,1,-2,2
2025/03/23-08:00:32,120,-27,4101,0,2,1
2025/03/21-06:17:48,123,-24,4089,1,0,-1
2025/03/25-20:34:22,113,-7,4116,1,2,1
2025/03/24-23:32:36,124,-29,4096,-1,2,2
2025/03/21-06:59:19,109,-13,4112,-1,1,1
2025/03/25-23:17:35,127,-18,4094,-1,-1,2
2025/03/21-06:41:33,101,-21,4106,0,1,0
2025/03/21-02:57:57,104,-2,4090,-2,-2,-2
2025/03/21-13:12:42,114,-28,4090,-1,2,-2
2025/03/23-03:20:28,110,-3,4112,1,1,0
2025/03/25-02:26:46,119,-25,4094,1,0,-1
2025/03/21-10:07:30,126,-7,4114,-1,0,1
2025/03/22-22:06:37,111,-22,4084,0,2,-2
2025/03/24-18:42:15,127,-15,4118,-1,1,0
2025/03/22-09:42:01,117,-17,4096,-2,-2,-2
2025/03/23-00:29:57,103,-30,4103,-2,2,-2
2025/03/24-05:44:47,118,-12,4087,0,-2,-1
2025/03/24-00:07:31,124,-21,4104,0,-2,2
2025/03/25-08:18:24,103,-28,4092,0,2,2
2025/03/21-01:40:24,114,-20,4109,0,-1,2
2025/03/25-23:49:50,118,-21,4112,1,1,-2
2025/03/21-11:56:08,123,-29,4093,2,-2,0
2025/03/25-01:51:14,121,-20,4111,-2,-2,0
2025/03/24-06:40:29,107,-5,4087,1,2,0
2025/03/24-20:26:49,106,-5,4085,0,-1,0
2025/03/21-17:02:25,105,-6,4087,-2,1,0
2025/03/22-13:39:12,112,-29,4103,0,-2,-1
